date,total_vaccinations,people_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million,daily_vaccinations_raw,people_fully_vaccinated,people_fully_vaccinated_per_hundred,country,iso_code
2020-12-27,732.0,732.0,0.01,0.01,,,,,,Austria,AUT
2020-12-28,2029.0,2029.0,0.02,0.02,1297.0,144.0,1297.0,,,Austria,AUT
2020-12-29,3648.0,3648.0,0.04,0.04,1458.0,162.0,1619.0,,,Austria,AUT
2020-12-30,4996.0,4996.0,0.06,0.06,1421.0,158.0,1348.0,,,Austria,AUT
2020-12-31,5004.0,5004.0,0.06,0.06,1068.0,119.0,8.0,,,Austria,AUT
2021-01-01,5008.0,5008.0,0.06,0.06,855.0,95.0,4.0,,,Austria,AUT
2021-01-02,5014.0,5014.0,0.06,0.06,714.0,79.0,6.0,,,Austria,AUT
2021-01-03,5015.0,5015.0,0.06,0.06,612.0,68.0,1.0,,,Austria,AUT
2021-01-04,5131.0,5131.0,0.06,0.06,443.0,49.0,116.0,,,Austria,AUT
2021-01-05,6921.0,6921.0,0.08,0.08,468.0,52.0,1790.0,,,Austria,AUT
2021-01-06,7754.0,7754.0,0.09,0.09,394.0,44.0,833.0,,,Austria,AUT
2021-01-07,10930.0,10930.0,0.12,0.12,847.0,94.0,3176.0,,,Austria,AUT
2021-01-08,23886.0,23886.0,0.27,0.27,2697.0,299.0,12956.0,,,Austria,AUT
2021-01-09,28290.0,28290.0,0.31,0.31,3325.0,369.0,4404.0,,,Austria,AUT
2021-01-10,30512.0,30512.0,0.34,0.34,3642.0,404.0,2222.0,,,Austria,AUT
2021-01-11,36128.0,36128.0,0.4,0.4,4428.0,492.0,5616.0,,,Austria,AUT
2021-01-12,50698.0,50698.0,0.56,0.56,6254.0,694.0,14570.0,,,Austria,AUT
2021-01-13,65921.0,65921.0,0.73,0.73,8310.0,923.0,15223.0,,,Austria,AUT
2021-01-14,82445.0,82445.0,0.92,0.92,10216.0,1134.0,16524.0,,,Austria,AUT
2021-01-15,100553.0,100550.0,1.12,1.12,10952.0,1216.0,18108.0,3.0,0.0,Austria,AUT
2021-01-16,107311.0,107299.0,1.19,1.19,11289.0,1253.0,6758.0,12.0,0.0,Austria,AUT
2021-01-17,112994.0,112622.0,1.25,1.25,11783.0,1308.0,5683.0,372.0,0.0,Austria,AUT
2021-01-18,124378.0,123115.0,1.38,1.37,12607.0,1400.0,11384.0,1263.0,0.01,Austria,AUT
2021-01-19,150143.0,147432.0,1.67,1.6400000000000001,14206.0,1577.0,25765.0,2711.0,0.03,Austria,AUT
2021-01-20,173595.0,169593.0,1.9300000000000002,1.88,15382.0,1708.0,23452.0,4002.0,0.04,Austria,AUT
2021-01-21,193219.0,189053.0,2.15,2.1,15825.0,1757.0,19624.0,4166.0,0.05,Austria,AUT
2021-01-22,204877.0,200129.0,2.27,2.22,14903.0,1655.0,11658.0,4748.0,0.05,Austria,AUT
2021-01-23,207997.0,203246.0,2.31,2.26,14384.0,1597.0,3120.0,4751.0,0.05,Austria,AUT
2021-01-24,209236.0,204483.0,2.32,2.27,13749.0,1527.0,1239.0,4753.0,0.05,Austria,AUT
2021-01-25,210723.0,205862.0,2.34,2.29,12335.0,1370.0,1487.0,4861.0,0.05,Austria,AUT
2021-01-26,219287.0,213524.0,2.43,2.37,9878.0,1097.0,8564.0,5763.0,0.06,Austria,AUT
2021-01-27,227278.0,220996.0,2.52,2.45,7669.0,852.0,7991.0,6282.0,0.07,Austria,AUT
2021-01-28,237085.0,228176.0,2.63,2.5300000000000002,6267.0,696.0,9807.0,8909.0,0.1,Austria,AUT
2021-01-29,252027.0,233485.0,2.8,2.59,6736.0,748.0,14942.0,18542.0,0.21,Austria,AUT
2021-01-30,255717.0,234820.0,2.84,2.61,6817.0,757.0,3690.0,20897.0,0.23,Austria,AUT
2021-01-31,257072.0,235174.0,2.85,2.61,6834.0,759.0,1355.0,21898.0,0.24,Austria,AUT
2021-02-01,261706.0,236745.0,2.91,2.63,7283.0,809.0,4634.0,24961.0,0.28,Austria,AUT
2021-02-02,278811.0,239868.0,3.1,2.66,8503.0,944.0,17105.0,38943.0,0.43,Austria,AUT
2021-02-03,296549.0,243076.0,3.29,2.7,9896.0,1099.0,17738.0,53473.0,0.59,Austria,AUT
2021-02-04,316636.0,246069.0,3.52,2.73,11364.0,1262.0,20087.0,70567.0,0.78,Austria,AUT
2021-02-05,337555.0,250144.0,3.75,2.7800000000000002,12218.0,1357.0,20919.0,87411.0,0.97,Austria,AUT
2021-02-06,346547.0,252903.0,3.85,2.81,12976.0,1441.0,8992.0,93644.0,1.04,Austria,AUT
2021-02-07,351560.0,253521.0,3.9,2.81,13498.0,1499.0,5013.0,98039.0,1.09,Austria,AUT
2021-02-08,361216.0,255557.0,4.01,2.84,14216.0,1578.0,9656.0,105659.0,1.17,Austria,AUT
2021-02-09,380312.0,258380.0,4.22,2.87,14500.0,1610.0,19096.0,121932.0,1.35,Austria,AUT
2021-02-10,401923.0,261916.0,4.46,2.91,15053.0,1671.0,21611.0,140007.0,1.55,Austria,AUT
2021-02-11,426119.0,267165.0,4.73,2.9699999999999998,15640.0,1737.0,24196.0,158954.0,1.76,Austria,AUT
2021-02-12,452633.0,275516.0,5.03,3.06,16440.0,1825.0,26514.0,177117.0,1.97,Austria,AUT
2021-02-13,463044.0,280839.0,5.14,3.12,16642.0,1848.0,10411.0,182205.0,2.02,Austria,AUT
2021-02-14,465059.0,281298.0,5.16,3.12,16214.0,1800.0,2015.0,183761.0,2.04,Austria,AUT
2021-02-15,472148.0,285198.0,5.24,3.17,15847.0,1760.0,7089.0,186950.0,2.08,Austria,AUT
2021-02-16,486640.0,292145.0,5.4,3.24,15190.0,1687.0,14492.0,194495.0,2.16,Austria,AUT
2021-02-17,505899.0,301851.0,5.62,3.35,14854.0,1649.0,19259.0,204048.0,2.27,Austria,AUT
2021-02-18,525440.0,313448.0,5.83,3.48,14189.0,1575.0,19541.0,211992.0,2.35,Austria,AUT
2021-02-19,546700.0,326311.0,6.07,3.62,13438.0,1492.0,21260.0,220389.0,2.45,Austria,AUT
2021-02-20,559615.0,337526.0,6.21,3.75,13796.0,1532.0,12915.0,222089.0,2.47,Austria,AUT
2021-02-21,565579.0,343123.0,6.28,3.81,14360.0,1594.0,5964.0,222456.0,2.47,Austria,AUT
2021-02-22,572472.0,348199.0,6.36,3.87,14332.0,1591.0,6893.0,224273.0,2.49,Austria,AUT
2021-02-23,587088.0,358388.0,6.52,3.98,14350.0,1593.0,14616.0,228700.0,2.54,Austria,AUT
2021-02-24,606661.0,374538.0,6.74,4.16,14395.0,1598.0,19573.0,232123.0,2.58,Austria,AUT
2021-02-25,626407.0,390756.0,6.96,4.34,14424.0,1602.0,19746.0,235651.0,2.62,Austria,AUT
2021-02-26,654917.0,414581.0,7.27,4.6,15460.0,1717.0,28510.0,240336.0,2.67,Austria,AUT
2021-02-27,679557.0,437273.0,7.55,4.86,17135.0,1903.0,24640.0,242284.0,2.69,Austria,AUT
2021-02-28,689854.0,447123.0,7.66,4.96,17754.0,1971.0,10297.0,242731.0,2.7,Austria,AUT
2021-03-01,698455.0,454877.0,7.76,5.05,17998.0,1998.0,8601.0,243578.0,2.7,Austria,AUT
2021-03-02,723456.0,477569.0,8.03,5.3,19481.0,2163.0,25001.0,245887.0,2.73,Austria,AUT
2021-03-03,751135.0,502929.0,8.34,5.58,20639.0,2292.0,27679.0,248206.0,2.76,Austria,AUT
2021-03-04,778156.0,527204.0,8.64,5.85,21678.0,2407.0,27021.0,250952.0,2.79,Austria,AUT
2021-03-05,814338.0,560480.0,9.04,6.22,22774.0,2529.0,36182.0,253858.0,2.8200000000000003,Austria,AUT
2021-03-06,842265.0,585892.0,9.35,6.51,23244.0,2581.0,27927.0,256373.0,2.85,Austria,AUT
2021-03-07,854118.0,597095.0,9.48,6.63,23466.0,2605.0,11853.0,257023.0,2.85,Austria,AUT
2021-03-08,865538.0,607141.0,9.61,6.74,23869.0,2650.0,11420.0,258397.0,2.87,Austria,AUT
2021-03-09,893578.0,631730.0,9.92,7.01,24303.0,2698.0,28040.0,261848.0,2.91,Austria,AUT
2021-03-10,922299.0,655979.0,10.24,7.28,24452.0,2715.0,28721.0,266320.0,2.96,Austria,AUT
2021-03-11,966710.0,694981.0,10.73,7.72,26936.0,2991.0,44411.0,271729.0,3.02,Austria,AUT
2021-03-12,1024460.0,747399.0,11.37,8.3,30017.0,3333.0,57750.0,277061.0,3.08,Austria,AUT
2021-03-13,1076471.0,793686.0,11.95,8.81,33458.0,3715.0,52011.0,282785.0,3.14,Austria,AUT
2021-03-14,1106146.0,819116.0,12.28,9.09,36004.0,3998.0,29675.0,287030.0,3.19,Austria,AUT
2021-03-15,1126800.0,837511.0,12.51,9.3,37323.0,4144.0,20654.0,289289.0,3.21,Austria,AUT
2021-03-16,1154842.0,859312.0,12.82,9.54,37323.0,4144.0,28042.0,295530.0,3.2800000000000002,Austria,AUT
2021-03-17,1188810.0,885253.0,13.2,9.83,38073.0,4227.0,33968.0,303557.0,3.37,Austria,AUT
2021-03-18,1223308.0,911730.0,13.58,10.12,36657.0,4070.0,34498.0,311578.0,3.46,Austria,AUT
2021-03-19,1276658.0,956550.0,14.18,10.62,36028.0,4000.0,53350.0,320108.0,3.55,Austria,AUT
2021-03-20,1323592.0,994011.0,14.7,11.04,35303.0,3920.0,46934.0,329581.0,3.66,Austria,AUT
2021-03-21,1339069.0,1005621.0,14.87,11.17,33275.0,3695.0,15477.0,333448.0,3.7,Austria,AUT
2021-03-22,1354734.0,1018795.0,15.04,11.31,32562.0,3615.0,15665.0,335939.0,3.73,Austria,AUT
2021-03-23,1389467.0,1037318.0,15.43,11.52,33518.0,3722.0,34733.0,352149.0,3.91,Austria,AUT
2021-03-24,1428348.0,1058515.0,15.86,11.75,34220.0,3800.0,38881.0,369833.0,4.11,Austria,AUT
2021-03-25,1473337.0,1087410.0,16.36,12.07,35718.0,3966.0,44989.0,385927.0,4.29,Austria,AUT
2021-03-26,1523268.0,1119102.0,16.91,12.43,35230.0,3912.0,49931.0,404166.0,4.49,Austria,AUT
2021-03-27,1563949.0,1145209.0,17.36,12.72,34337.0,3813.0,40681.0,418740.0,4.65,Austria,AUT
2021-03-28,1578389.0,1155008.0,17.53,12.82,34189.0,3796.0,14440.0,423381.0,4.7,Austria,AUT
2021-03-29,1604609.0,1175767.0,17.82,13.05,35696.0,3963.0,26220.0,428842.0,4.76,Austria,AUT
2021-03-30,1645113.0,1204703.0,18.27,13.38,36521.0,4055.0,40504.0,440410.0,4.89,Austria,AUT
2021-03-31,1679598.0,1226481.0,18.65,13.62,35893.0,3985.0,34485.0,453117.0,5.03,Austria,AUT
2021-04-01,1720753.0,1248874.0,19.11,13.87,35345.0,3924.0,41155.0,471879.0,5.24,Austria,AUT
2021-04-02,1763926.0,1273278.0,19.59,14.14,34380.0,3817.0,43173.0,490648.0,5.45,Austria,AUT
2021-04-03,1785389.0,1285878.0,19.82,14.28,31634.0,3512.0,21463.0,499511.0,5.55,Austria,AUT
2021-04-04,1795331.0,1294070.0,19.93,14.37,30992.0,3441.0,9942.0,501261.0,5.57,Austria,AUT
2021-04-05,1807773.0,1301762.0,20.07,14.45,29023.0,3222.0,12442.0,506011.0,5.62,Austria,AUT
2021-04-06,1845019.0,1327174.0,20.49,14.74,28558.0,3171.0,37246.0,517845.0,5.75,Austria,AUT
2021-04-07,1899102.0,1365675.0,21.09,15.16,31358.0,3482.0,54083.0,533427.0,5.92,Austria,AUT
2021-04-08,1969834.0,1411464.0,21.87,15.67,35583.0,3951.0,70732.0,558370.0,6.2,Austria,AUT
2021-04-09,2046406.0,1455863.0,22.72,16.16,40354.0,4481.0,76572.0,590543.0,6.5600000000000005,Austria,AUT
2021-04-10,2110468.0,1491729.0,23.43,16.56,46440.0,5156.0,64062.0,618739.0,6.87,Austria,AUT
2021-04-11,2136198.0,1501911.0,23.72,16.68,48695.0,5407.0,25730.0,634287.0,7.04,Austria,AUT
2021-04-12,2169669.0,1528684.0,24.09,16.97,51699.0,5740.0,33471.0,640985.0,7.12,Austria,AUT
2021-04-13,2212729.0,1560763.0,24.57,17.33,52530.0,5833.0,43060.0,651966.0,7.24,Austria,AUT
2021-04-14,2275344.0,1612569.0,25.26,17.9,53749.0,5968.0,62615.0,662775.0,7.36,Austria,AUT
2021-04-15,2343827.0,1664505.0,26.02,18.48,53428.0,5932.0,68483.0,679322.0,7.54,Austria,AUT
2021-04-16,2409981.0,1714043.0,26.76,19.03,51939.0,5767.0,66154.0,695938.0,7.73,Austria,AUT
2021-04-17,2464337.0,1748257.0,27.36,19.41,50553.0,5613.0,54356.0,716080.0,7.95,Austria,AUT
2021-04-18,2482902.0,1762608.0,27.57,19.57,49529.0,5499.0,18565.0,720294.0,8.0,Austria,AUT
2021-04-19,2512488.0,1786948.0,27.9,19.84,48974.0,5438.0,29586.0,725540.0,8.06,Austria,AUT
2020-12-28,298.0,298.0,0.0,0.0,,,,,,Belgium,BEL
2020-12-29,299.0,299.0,0.0,0.0,1.0,0.0,1.0,,,Belgium,BEL
2020-12-30,777.0,777.0,0.01,0.01,240.0,21.0,478.0,,,Belgium,BEL
2020-12-31,786.0,786.0,0.01,0.01,163.0,14.0,9.0,,,Belgium,BEL
2021-01-01,794.0,794.0,0.01,0.01,124.0,11.0,8.0,,,Belgium,BEL
2021-01-02,,,,,99.0,9.0,,,,Belgium,BEL
2021-01-03,,,,,83.0,7.0,,,,Belgium,BEL
2021-01-04,796.0,796.0,0.01,0.01,71.0,6.0,,,,Belgium,BEL
2021-01-05,2445.0,2445.0,0.02,0.02,307.0,26.0,1649.0,,,Belgium,BEL
2021-01-06,6328.0,6328.0,0.05,0.05,793.0,68.0,3883.0,,,Belgium,BEL
2021-01-07,14510.0,14510.0,0.13,0.13,1961.0,169.0,8182.0,,,Belgium,BEL
2021-01-08,23751.0,23751.0,0.2,0.2,3280.0,283.0,9241.0,,,Belgium,BEL
2021-01-09,26957.0,26957.0,0.23,0.23,3737.0,322.0,3206.0,,,Belgium,BEL
2021-01-10,27357.0,27357.0,0.24,0.24,3795.0,327.0,400.0,,,Belgium,BEL
2021-01-11,32937.0,32937.0,0.28,0.28,4592.0,396.0,5580.0,,,Belgium,BEL
2021-01-12,48619.0,48619.0,0.42,0.42,6596.0,569.0,15682.0,,,Belgium,BEL
2021-01-13,70031.0,70031.0,0.6000000000000001,0.6000000000000001,9100.0,785.0,21412.0,,,Belgium,BEL
2021-01-14,93260.0,93260.0,0.8,0.8,11250.0,971.0,23229.0,,,Belgium,BEL
2021-01-15,116582.0,116582.0,1.01,1.01,13262.0,1144.0,23322.0,,,Belgium,BEL
2021-01-16,121741.0,121741.0,1.05,1.05,13541.0,1168.0,5159.0,,,Belgium,BEL
2021-01-17,125047.0,125047.0,1.08,1.08,13956.0,1204.0,3306.0,,,Belgium,BEL
2021-01-18,136073.0,135964.0,1.17,1.17,14734.0,1271.0,11026.0,109.0,0.0,Belgium,BEL
2021-01-19,155308.0,155018.0,1.34,1.34,15241.0,1315.0,19235.0,290.0,0.0,Belgium,BEL
2021-01-20,176535.0,175822.0,1.52,1.52,15215.0,1313.0,21227.0,713.0,0.01,Belgium,BEL
2021-01-21,206646.0,205933.0,1.78,1.78,16198.0,1398.0,30111.0,713.0,0.01,Belgium,BEL
2021-01-22,236061.0,235316.0,2.04,2.03,17068.0,1473.0,29415.0,745.0,0.01,Belgium,BEL
2021-01-23,244356.0,243604.0,2.11,2.1,17516.0,1511.0,8295.0,752.0,0.01,Belgium,BEL
2021-01-24,246232.0,245480.0,2.12,2.12,17312.0,1494.0,1876.0,752.0,0.01,Belgium,BEL
2021-01-25,257489.0,256737.0,2.22,2.22,17345.0,1497.0,11257.0,752.0,0.01,Belgium,BEL
2021-01-26,270094.0,267693.0,2.33,2.31,16398.0,1415.0,12605.0,2401.0,0.02,Belgium,BEL
2021-01-27,286548.0,280741.0,2.47,2.42,15716.0,1356.0,16454.0,5807.0,0.05,Belgium,BEL
2021-01-28,309532.0,296299.0,2.67,2.56,14698.0,1268.0,22984.0,13233.0,0.11,Belgium,BEL
2021-01-29,330549.0,308402.0,2.85,2.66,13498.0,1165.0,21017.0,22147.0,0.19,Belgium,BEL
2021-01-30,335013.0,309992.0,2.89,2.67,12951.0,1117.0,4464.0,25021.0,0.22,Belgium,BEL
2021-01-31,335915.0,310566.0,2.9,2.68,12812.0,1105.0,902.0,25349.0,0.22,Belgium,BEL
2021-02-01,343594.0,314489.0,2.96,2.71,12301.0,1061.0,7679.0,29105.0,0.25,Belgium,BEL
2021-02-02,367486.0,324649.0,3.17,2.8,13913.0,1200.0,23892.0,42837.0,0.37,Belgium,BEL
2021-02-03,398059.0,334700.0,3.43,2.89,15930.0,1375.0,30573.0,63359.0,0.55,Belgium,BEL
2021-02-04,431783.0,344583.0,3.73,2.9699999999999998,17464.0,1507.0,33724.0,87200.0,0.75,Belgium,BEL
2021-02-05,462245.0,352504.0,3.99,3.04,18814.0,1623.0,30462.0,109741.0,0.9500000000000001,Belgium,BEL
2021-02-06,468701.0,353746.0,4.04,3.05,19098.0,1648.0,6456.0,114955.0,0.99,Belgium,BEL
