date,country,first_dose,cumulation,population,percentage
2020-12-28,Austria,1297.0,1297.0,9047452,0.00014335527837008695
2020-12-29,Austria,1458.0,2755.0,9047452,0.0003045056221353813
2020-12-30,Austria,1421.0,4176.0,9047452,0.0004615664167104727
2020-12-31,Austria,1068.0,5244.0,9047452,0.0005796107014438982
2021-01-01,Austria,855.0,6099.0,9047452,0.0006741124462445338
2021-01-02,Austria,714.0,6813.0,9047452,0.0007530296927798014
2021-01-03,Austria,612.0,7425.0,9047452,0.0008206730469528879
2021-01-04,Austria,443.0,7868.0,9047452,0.0008696371088788313
2021-01-05,Austria,468.0,8336.0,9047452,0.0009213643797170739
2021-01-06,Austria,394.0,8730.0,9047452,0.0009649125521749107
2021-01-07,Austria,847.0,9577.0,9047452,0.0010585300701236105
2021-01-08,Austria,2697.0,12274.0,9047452,0.0013566250475824575
2021-01-09,Austria,3325.0,15599.0,9047452,0.0017241318329182624
2021-01-10,Austria,3642.0,19241.0,9047452,0.0021266761072620227
2021-01-11,Austria,4428.0,23669.0,9047452,0.002616095669808472
2021-01-12,Austria,6254.0,29923.0,9047452,0.0033073400113092614
2021-01-13,Austria,8310.0,38233.0,9047452,0.0042258306537575445
2021-01-14,Austria,10216.0,48449.0,9047452,0.005354988343679525
2021-01-15,Austria,10952.0,59401.0,9047452,0.006565494903979596
2021-01-16,Austria,11289.0,70690.0,9047452,0.00781324952041746
2021-01-17,Austria,11783.0,82473.0,9047452,0.00911560514496236
2021-01-18,Austria,12607.0,95080.0,9047452,0.010509036135256644
2021-01-19,Austria,14206.0,109286.0,9047452,0.01207920196758159
2021-01-20,Austria,15382.0,124668.0,9047452,0.013779349147141096
2021-01-21,Austria,15825.0,140493.0,9047452,0.015528460388626543
2021-01-22,Austria,14903.0,155396.0,9047452,0.017175664485426394
2021-01-23,Austria,14384.0,169780.0,9047452,0.018765504365206912
2021-01-24,Austria,13749.0,183529.0,9047452,0.020285158738615028
2021-01-25,Austria,12335.0,195864.0,9047452,0.021648526015943494
2021-01-26,Austria,9878.0,205742.0,9047452,0.02274032512137119
2021-01-27,Austria,7669.0,213411.0,9047452,0.023587967087308117
2021-01-28,Austria,6267.0,219678.0,9047452,0.0242806482974433
2021-01-29,Austria,6736.0,226414.0,9047452,0.025025167306773222
2021-01-30,Austria,6817.0,233231.0,9047452,0.02577863911297899
2021-01-31,Austria,6834.0,240065.0,9047452,0.026533989901245125
2021-02-01,Austria,7283.0,247348.0,9047452,0.02733896792157615
2021-02-02,Austria,8503.0,255851.0,9047452,0.028278790536827386
